#,시군구명,소재지,면적,용도지역1,이용상황,주위환경,지세명,공시지가,X,Y
13016,노원구, 상계동 90-17,97,제3종일반주거지역,단독주택,일반 주택지대,평지,2320000,127.07659,37.66642
13017,노원구, 상계동 90-24,149,제3종일반주거지역,단독주택,기존 주택지대,평지,2730000,127.076573,37.66597
13018,노원구, 상계동 91-12,142,준주거지역,상업기타,노선 상가지대,평지,6490000,127.077103,37.665325
13019,노원구, 상계동 91-55,95,준주거지역,단독주택,기존 주택지대,평지,2790000,127.076862,37.665512
13020,노원구, 상계동 93-1,472,제3종일반주거지역,상업용,노선 상가지대,평지,6700000,127.077781,37.666366
13022,노원구, 상계동 95-13,152,준주거지역,상업용,시장지대,평지,6810000,127.077556,37.665329
13023,노원구, 상계동 95-71,66,제3종일반주거지역,단독주택,기존 주택지대,평지,2480000,127.078338,37.665344
13024,노원구, 상계동 95-94,66,제3종일반주거지역,주상용,주택 및 상가혼용지대,평지,3370000,127.077816,37.665367
13025,노원구, 상계동 95-255,73,제3종일반주거지역,단독주택,기존 주택지대,평지,2280000,127.078403,37.665605
13026,노원구, 상계동 95-272,119,준주거지역,단독주택,일반 주택지대,평지,2700000,127.077295,37.664462
13028,노원구, 상계동 101-8,261,제3종일반주거지역,상업용,노선 상가지대,평지,6040000,127.078284,37.666965
13029,노원구, 상계동 101-15,102,제3종일반주거지역,단독주택,기존 주택지대,평지,2290000,127.077909,37.667025
13030,노원구, 상계동 101-48,94,제3종일반주거지역,단독주택,기존 주택지대,평지,2280000,127.07737,37.667517
13031,노원구, 상계동 101-85,99,제3종일반주거지역,주상용,기존 주택지대,평지,3930000,127.077311,37.66684
13032,노원구, 상계동 101-108,106,제2종일반주거지역,주상용,후면 상가지대,평지,3910000,127.077183,37.667083
13033,노원구, 상계동 101-158,185,제3종일반주거지역,다세대,일반 주택지대,평지,2620000,127.078754,37.668347
13034,노원구, 상계동 101-178,264,제3종일반주거지역,주상용,노선 상가지대,평지,5500000,127.079066,37.667917
13035,노원구, 상계동 107-1481,123,제3종일반주거지역,주상용,주택 및 상가혼용지대,평지,2640000,127.080002,37.66642
13036,노원구, 상계동 112-57,106,제2종일반주거지역,단독주택,기존 주택지대,완경사지,2340000,127.077747,37.670087
13037,노원구, 상계동 112-67,166,제2종일반주거지역,단독주택,기존 주택지대,완경사지,2170000,127.077198,37.670453
13040,노원구, 상계동 134-21,111,제2종일반주거지역,단독주택,기존 주택지대,완경사지,1850000,127.069791,37.667241
13041,노원구, 상계동 134-54,119,제2종일반주거지역,단독주택,기존 주택지대,평지,1980000,127.070469,37.666498
13042,노원구, 상계동 135-16,119,제2종일반주거지역,주상용,아파트단지주변 상가지대,평지,2800000,127.069586,37.666419
13043,노원구, 상계동 135-31,132,제2종일반주거지역,주상용,아파트단지주변 상가지대,평지,2830000,127.069535,37.665914
13044,노원구, 상계동 135-70,136,제2종일반주거지역,주상용,아파트단지주변 상가지대,평지,2860000,127.068927,37.664693
13045,노원구, 상계동 136-12,261,제2종일반주거지역,다세대,기존 주택지대,평지,2200000,127.070733,37.666239
13046,노원구, 상계동 136-25,159,제2종일반주거지역,단독주택,일반 주택지대,평지,2250000,127.070405,37.665263
13047,노원구, 상계동 136-40,242,제2종일반주거지역,다세대,일반 주택지대,평지,2240000,127.070121,37.666225
13048,노원구, 상계동 136-79,165,제2종일반주거지역,단독주택,일반 주택지대,평지,2090000,127.06984,37.666025
13049,노원구, 상계동 138-24,116,제2종일반주거지역,주상용,일반 주택지대,평지,2730000,127.073157,37.66451
13050,노원구, 상계동 138-38,142,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2800000,127.072543,37.664641
13051,노원구, 상계동 138-47,129,제2종일반주거지역,단독주택,일반 주택지대,평지,2090000,127.072081,37.664421
